inventory_id,fig_num,quantity
5700,fig-000319,1
5726,fig-000933,1
5734,fig-000156,1
5741,fig-000396,1
5745,fig-000318,1
5750,fig-002460,1
5750,fig-002461,1
5750,fig-002462,1
5750,fig-002465,1
5783,fig-000556,1
5784,fig-000695,1
5786,fig-000114,1
5789,fig-001260,1
5795,fig-000720,1
5799,fig-001028,1
5805,fig-001447,1
5806,fig-001769,1
5806,fig-002754,1
5806,fig-002755,1
5806,fig-002756,1
5806,fig-002757,1
5806,fig-002758,1
5806,fig-002759,1
5806,fig-002760,1
5807,fig-000884,1
5809,fig-000528,1
5821,fig-000745,1
5824,fig-000138,1
5827,fig-000394,1
5834,fig-001238,1
5842,fig-002431,1
5845,fig-000798,1
5849,fig-001306,1
5859,fig-000593,1
5862,fig-000236,4
5864,fig-001308,1
5893,fig-000070,1
5893,fig-000406,1
5896,fig-001298,1
5899,fig-001350,1
5901,fig-000748,1
5910,fig-000416,1
5913,fig-000650,1
5915,fig-001109,1
5921,fig-001133,1
5922,fig-000088,2
5943,fig-002156,1
5943,fig-002157,1
5960,fig-000818,1
5963,fig-000415,2
5963,fig-002564,1
5976,fig-000657,1
5976,fig-002312,1
5985,fig-000288,1
5995,fig-000359,1
5995,fig-000464,1
5995,fig-002234,1
5997,fig-001407,4
6023,fig-001177,1
6024,fig-001394,1
6030,fig-001011,1
6032,fig-001437,1
6046,fig-000029,1
6058,fig-000821,1
6076,fig-000704,1
6081,fig-000342,1
6092,fig-000047,1
6105,fig-000310,1
6121,fig-000370,1
6148,fig-000746,1
6161,fig-000418,1
6164,fig-001230,1
6180,fig-000542,1
6187,fig-002356,1
6187,fig-002357,1
6203,fig-000053,1
6208,fig-001314,1
6229,fig-001010,1
6232,fig-001372,1
6240,fig-001391,1
6243,fig-002423,1
6243,fig-002424,1
6243,fig-002427,1
6243,fig-002428,1
6243,fig-002429,1
6254,fig-000629,1
6264,fig-000468,1
6266,fig-000932,1
6292,fig-000088,1
6310,fig-000340,1
6312,fig-000163,2
6321,fig-000775,1
6323,fig-000611,1
6325,fig-000111,1
6326,fig-000111,1
6326,fig-002576,1
6332,fig-001458,1
6344,fig-000388,1
6360,fig-000835,1
6362,fig-000300,1
6378,fig-000641,1
6381,fig-000289,2
6383,fig-002300,1
6383,fig-002302,1
6394,fig-001865,1
6394,fig-002508,1
6398,fig-000112,1
6399,fig-000840,1
6399,fig-000979,1
6400,fig-000452,1
6402,fig-001550,1
6415,fig-001313,1
6422,fig-001083,1
6432,fig-000098,1
6455,fig-000839,1
6455,fig-002244,1
6455,fig-002258,1
6455,fig-002259,1
6463,fig-001116,1
6496,fig-001223,1
6497,fig-001045,1
6500,fig-000789,1
6503,fig-000198,1
6526,fig-002376,1
6526,fig-002377,1
6526,fig-002378,1
6536,fig-000452,1
6547,fig-000507,1
6550,fig-000344,1
6554,fig-001121,1
6561,fig-000980,1
6567,fig-001485,1
6567,fig-002158,1
6567,fig-002159,1
6567,fig-002160,1
6575,fig-002229,1
6592,fig-001254,1
6597,fig-000359,1
6597,fig-000629,1
6597,fig-002235,1
6598,fig-000333,1
6611,fig-000954,1
6623,fig-000129,1
6632,fig-000339,1
6636,fig-000020,1
6650,fig-000018,1
6663,fig-001218,1
6665,fig-000491,1
6668,fig-000179,1
6668,fig-002579,1
6669,fig-001503,1
6676,fig-000804,1
6680,fig-000675,1
6690,fig-000465,1
6694,fig-002358,1
6694,fig-002359,1
6712,fig-000044,1
6719,fig-001435,1
6726,fig-000852,1
6735,fig-000034,2
6735,fig-000657,1
6735,fig-002312,1
6743,fig-000979,1
6765,fig-001255,1
6785,fig-000929,1
6797,fig-000213,1
6808,fig-000101,1
6811,fig-000034,1
6824,fig-001091,1
6830,fig-000966,1
6846,fig-000902,1
6850,fig-001060,1
6861,fig-000215,1
6865,fig-001490,1
6869,fig-001169,1
6880,fig-001030,1
6884,fig-000030,1
6886,fig-000459,1
6897,fig-002229,2
6900,fig-001043,1
6908,fig-000693,1
6911,fig-000657,1
6911,fig-001044,1
